184  abs_mut=1073841270 depth=13 abs_father_mut=72077 index_father_mut=183 num_children_mut=1 number_cells=0
185  abs_mut=102035 depth=14 abs_father_mut=1073841270 index_father_mut=184 num_children_mut=1 number_cells=0
186  abs_mut=108841 depth=15 abs_father_mut=102035 index_father_mut=185 num_children_mut=0 number_cells=1
187  abs_mut=9730 depth=12 abs_father_mut=1073748212 index_father_mut=132 num_children_mut=1 number_cells=0
188  abs_mut=15337 depth=13 abs_father_mut=9730 index_father_mut=187 num_children_mut=1 number_cells=0
189  abs_mut=31641 depth=14 abs_father_mut=15337 index_father_mut=188 num_children_mut=1 number_cells=0
190  abs_mut=105205 depth=15 abs_father_mut=31641 index_father_mut=189 num_children_mut=0 number_cells=1
191  abs_mut=13401 depth=13 abs_father_mut=7200 index_father_mut=133 num_children_mut=1 number_cells=0
192  abs_mut=30872 depth=14 abs_father_mut=13401 index_father_mut=191 num_children_mut=1 number_cells=0
193  abs_mut=103701 depth=15 abs_father_mut=30872 index_father_mut=192 num_children_mut=0 number_cells=1
194  abs_mut=805 depth=8 abs_father_mut=1073742261 index_father_mut=47 num_children_mut=1 number_cells=0
195  abs_mut=1692 depth=9 abs_father_mut=805 index_father_mut=194 num_children_mut=1 number_cells=0
196  abs_mut=1934 depth=10 abs_father_mut=1692 index_father_mut=195 num_children_mut=1 number_cells=0
197  abs_mut=3195 depth=11 abs_father_mut=1934 index_father_mut=196 num_children_mut=1 number_cells=0
198  abs_mut=15822 depth=12 abs_father_mut=3195 index_father_mut=197 num_children_mut=1 number_cells=0
199  abs_mut=1073779457 depth=13 abs_father_mut=15822 index_father_mut=198 num_children_mut=1 number_cells=0
200  abs_mut=41155 depth=14 abs_father_mut=1073779457 index_father_mut=199 num_children_mut=1 number_cells=0
201  abs_mut=50733 depth=15 abs_father_mut=41155 index_father_mut=200 num_children_mut=0 number_cells=1
202  abs_mut=354 depth=7 abs_father_mut=1073742036 index_father_mut=127 num_children_mut=4 number_cells=0
203  abs_mut=1324 depth=8 abs_father_mut=354 index_father_mut=202 num_children_mut=1 number_cells=0
204  abs_mut=1073746925 depth=9 abs_father_mut=1324 index_father_mut=203 num_children_mut=1 number_cells=0
205  abs_mut=5585 depth=10 abs_father_mut=1073746925 index_father_mut=204 num_children_mut=2 number_cells=0
206  abs_mut=1073753529 depth=11 abs_father_mut=5585 index_father_mut=205 num_children_mut=1 number_cells=0
207  abs_mut=13259 depth=12 abs_father_mut=1073753529 index_father_mut=206 num_children_mut=1 number_cells=0
208  abs_mut=1073757222 depth=13 abs_father_mut=13259 index_father_mut=207 num_children_mut=1 number_cells=0
209  abs_mut=181153 depth=14 abs_father_mut=1073757222 index_father_mut=208 num_children_mut=0 number_cells=1
210  abs_mut=215 depth=6 abs_father_mut=1073741990 index_father_mut=45 num_children_mut=1 number_cells=0
211  abs_mut=219 depth=7 abs_father_mut=215 index_father_mut=210 num_children_mut=3 number_cells=0
212  abs_mut=1925 depth=8 abs_father_mut=219 index_father_mut=211 num_children_mut=1 number_cells=0
213  abs_mut=2508 depth=9 abs_father_mut=1925 index_father_mut=212 num_children_mut=1 number_cells=0
214  abs_mut=1073744523 depth=10 abs_father_mut=2508 index_father_mut=213 num_children_mut=2 number_cells=0
215  abs_mut=23722 depth=11 abs_father_mut=1073744523 index_father_mut=214 num_children_mut=1 number_cells=0
216  abs_mut=1073772995 depth=12 abs_father_mut=23722 index_father_mut=215 num_children_mut=1 number_cells=0
217  abs_mut=64875 depth=13 abs_father_mut=1073772995 index_father_mut=216 num_children_mut=1 number_cells=0
218  abs_mut=171143 depth=14 abs_father_mut=64875 index_father_mut=217 num_children_mut=0 number_cells=1
219  abs_mut=1073749635 depth=8 abs_father_mut=1073742522 index_father_mut=170 num_children_mut=1 number_cells=0
220  abs_mut=1073750558 depth=9 abs_father_mut=1073749635 index_father_mut=219 num_children_mut=1 number_cells=0
221  abs_mut=1073756652 depth=10 abs_father_mut=1073750558 index_father_mut=220 num_children_mut=1 number_cells=0
222  abs_mut=49802 depth=11 abs_father_mut=1073756652 index_father_mut=221 num_children_mut=1 number_cells=0
223  abs_mut=1073809858 depth=12 abs_father_mut=49802 index_father_mut=222 num_children_mut=1 number_cells=0
224  abs_mut=1073844949 depth=13 abs_father_mut=1073809858 index_father_mut=223 num_children_mut=1 number_cells=0
225  abs_mut=154809 depth=14 abs_father_mut=1073844949 index_father_mut=224 num_children_mut=0 number_cells=1
226  abs_mut=1073757126 depth=11 abs_father_mut=5585 index_father_mut=205 num_children_mut=1 number_cells=0
227  abs_mut=1073783340 depth=12 abs_father_mut=1073757126 index_father_mut=226 num_children_mut=1 number_cells=0
228  abs_mut=66436 depth=13 abs_father_mut=1073783340 index_father_mut=227 num_children_mut=1 number_cells=0
229  abs_mut=129789 depth=14 abs_father_mut=66436 index_father_mut=228 num_children_mut=0 number_cells=1
230  abs_mut=1869 depth=8 abs_father_mut=354 index_father_mut=202 num_children_mut=1 number_cells=0
231  abs_mut=2634 depth=9 abs_father_mut=1869 index_father_mut=230 num_children_mut=1 number_cells=0
232  abs_mut=1073747615 depth=10 abs_father_mut=2634 index_father_mut=231 num_children_mut=1 number_cells=0
233  abs_mut=9615 depth=11 abs_father_mut=1073747615 index_father_mut=232 num_children_mut=1 number_cells=0
234  abs_mut=10967 depth=12 abs_father_mut=9615 index_father_mut=233 num_children_mut=1 number_cells=0
235  abs_mut=34967 depth=13 abs_father_mut=10967 index_father_mut=234 num_children_mut=1 number_cells=0
